"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!!!"
"Please specify shipping method.","Пожалуйста, выберите метод доставки."
"Proceed to Checkout","Оформить заказ"
"Your order was recieved", "Ваш заказ был успешно оформлен!"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Кликните <a href=""%s"" onclick=""this.target=\'_blank\'"">здесь для печати</a> Вашего заказа."
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Кликните <a href=""%s"" target=""_blank"">здесь для печати</a> Вашего заказа."
"Call me back","Закажите обратный звонок"
"Send","Отправить"
"NAME:","ИМЯ:"
"SURNAME:","ФАМИЛИЯ:"
"PHONE:","ТЕЛЕФОН:"
"QUESTION:","ВОПРОС:"
"Your request is recieved","Ваш запрос отправлен. Спасибо за обращение."
"There is some error","При отправке запроса произошла ошибка"
"Call Back","ЗАКАЗАТЬ ЗВОНОК"
